epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
33,0.293993,0.372369,0.947850,0.947849,0.947889,0.947850,0.984049,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch33.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch33.png,90.174
34,0.345439,0.375771,0.945000,0.944998,0.945065,0.945000,0.968234,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch34.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch34.png,90.117
35,0.338244,0.389423,0.929100,0.929053,0.930241,0.929100,0.971956,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch35.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch35.png,90.393
36,0.340727,0.393179,0.926125,0.926057,0.927693,0.926125,0.962398,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch36.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch36.png,90.444
37,0.334239,0.422038,0.897275,0.896959,0.902208,0.897275,0.943971,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch37.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch37.png,91.335
38,0.349348,0.390592,0.929950,0.929814,0.933313,0.929950,0.954486,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch38.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch38.png,94.721
39,0.356648,0.399112,0.922350,0.922254,0.924436,0.922350,0.957433,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch39.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch39.png,90.737
40,0.306980,0.374058,0.945475,0.945474,0.945502,0.945475,0.975261,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch40.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch40.png,90.550
41,0.342081,0.374267,0.951975,0.951975,0.951978,0.951975,0.972645,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch41.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch41.png,90.928
42,0.343309,0.388547,0.930975,0.930959,0.931370,0.930975,0.971384,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch42.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch42.png,90.882
43,0.365686,0.370422,0.952725,0.952723,0.952794,0.952725,0.977044,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch43.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch43.png,91.734
44,0.354254,0.391681,0.932475,0.932429,0.933668,0.932475,0.962132,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch44.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch44.png,91.122
45,0.335873,0.356168,0.962000,0.961996,0.962174,0.962000,0.987215,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch45.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch45.png,91.572
46,0.333255,0.361675,0.961850,0.961850,0.961854,0.961850,0.984082,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch46.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch46.png,90.357
47,0.313118,0.358339,0.962700,0.962699,0.962745,0.962700,0.988397,/home/erensr/ERTECnet/unioutput/cm/confusion_matrix_epoch47.png,/home/erensr/ERTECnet/unioutput/roc/roc_epoch47.png,90.406
