epoch,train_loss,test_loss,test_acc,f1,precision,recall,roc_auc,cm_path,roc_path,epoch_time_sec
51,0.361929,0.359329,0.963232,0.961774,0.962811,0.960800,0.985620,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch51.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch51.png,126.794
52,0.351320,0.356929,0.965414,0.964128,0.964021,0.964236,0.982286,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch52.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch52.png,119.780
53,0.344582,0.355149,0.966686,0.965451,0.965302,0.965601,0.985615,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch53.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch53.png,99.718
54,0.338270,0.356956,0.967050,0.965692,0.967517,0.964044,0.979644,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch54.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch54.png,99.821
55,0.358902,0.366432,0.966664,0.965305,0.966894,0.963853,0.982931,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch55.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch55.png,99.836
56,0.353912,0.355448,0.966459,0.965042,0.967411,0.962956,0.982540,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch56.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch56.png,100.034
57,0.310730,0.354837,0.965664,0.964367,0.964522,0.964213,0.984774,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch57.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch57.png,99.963
58,0.307236,0.352015,0.968618,0.967393,0.968141,0.966678,0.984102,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch58.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch58.png,99.731
59,0.345482,0.350584,0.966686,0.965396,0.966001,0.964813,0.983961,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch59.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch59.png,99.972
60,0.305842,0.352881,0.968641,0.967319,0.969646,0.965264,0.986117,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch60.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch60.png,99.918
61,0.322286,0.353707,0.968186,0.966908,0.968222,0.965688,0.985412,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch61.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch61.png,99.767
62,0.343721,0.352442,0.969777,0.968664,0.968392,0.968941,0.977395,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch62.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch62.png,99.861
63,0.310917,0.351229,0.968300,0.967163,0.966487,0.967870,0.988894,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch63.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch63.png,99.911
64,0.336023,0.349300,0.970777,0.969639,0.970349,0.968958,0.987605,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch64.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch64.png,99.986
65,0.327100,0.349114,0.971890,0.970783,0.971703,0.969911,0.986871,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch65.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch65.png,100.116
66,0.329135,0.349935,0.969550,0.968448,0.967905,0.969010,0.986582,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch66.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch66.png,99.814
67,0.349165,0.352762,0.970618,0.969491,0.969910,0.969084,0.987617,/home/erensr/ERTECnet/kpcam/cm/confusion_matrix_epoch67.png,/home/erensr/ERTECnet/kpcam/roc/roc_epoch67.png,100.117
